bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
858,25848,17502,25848,17502,43350,43350,0,0
859,25578,17897,25578,17897,43475,43475,0,0
860,25300,18286,25300,18286,43586,43586,0,0
861,25017,18673,25017,18673,43690,43690,0,0
862,24727,19054,24727,19054,43781,43781,0,0
863,24432,19431,24432,19431,43863,43863,0,0
864,24130,19804,24130,19804,43934,43934,0,0
865,23824,20170,23824,20170,43994,43994,0,0
866,23512,20534,23512,20534,44046,44046,0,0
867,23195,20893,23195,20893,44088,44088,0,0
868,22870,21246,22870,21246,44116,44116,0,0
869,22542,21594,22542,21594,44136,44136,0,0
870,22208,21937,22208,21937,44145,44145,0,0
871,21869,22276,21869,22276,44145,44145,0,0
872,21524,22608,21524,22608,44132,44132,0,0
873,21176,22935,21176,22935,44111,44111,0,0
874,20822,23258,20822,23258,44080,44080,0,0
875,20462,23576,20462,23576,44038,44038,0,0
876,20098,23886,20098,23886,43984,43984,0,0
877,19730,24191,19730,24191,43921,43921,0,0
878,19356,24491,19356,24491,43847,43847,0,0
879,18978,24786,18978,24786,43764,43764,0,0
880,18596,25073,18596,25073,43669,43669,0,0
881,18210,25355,18210,25355,43565,43565,0,0
882,17818,25632,17818,25632,43450,43450,0,0
883,17422,25903,17422,25903,43325,43325,0,0
884,17022,26166,17022,26166,43188,43188,0,0
885,16620,26424,16620,26424,43044,43044,0,0
886,16212,26677,16212,26677,42889,42889,0,0
887,15801,26922,15801,26922,42723,42723,0,0
888,15387,27160,15387,27160,42547,42547,0,0
889,14968,27394,14968,27394,42362,42362,0,0
890,14545,27620,14545,27620,42165,42165,0,0
891,14120,27840,14120,27840,41960,41960,0,0
892,13692,28054,13692,28054,41746,41746,0,0
893,13260,28260,13260,28260,41520,41520,0,0
894,12825,28460,12825,28460,41285,41285,0,0
895,12387,28654,12387,28654,41041,41041,0,0
896,11946,28841,11946,28841,40787,40787,0,0
897,11502,29020,11502,29020,40522,40522,0,0
898,11055,29192,11055,29192,40247,40247,0,0
899,10606,29360,10606,29360,39966,39966,0,0
900,10155,29518,10155,29518,39673,39673,0,0
901,9702,29671,9702,29671,39373,39373,0,0
902,9245,29816,9245,29816,39061,39061,0,0
903,8786,29954,8786,29954,38740,38740,0,0
904,8326,30085,8326,30085,38411,38411,0,0
905,7863,30209,7863,30209,38072,38072,0,0
906,7399,30328,7399,30328,37727,37727,0,0
907,6933,30438,6933,30438,37371,37371,0,0
908,6465,30540,6465,30540,37005,37005,0,0
909,5996,30636,5996,30636,36632,36632,0,0
910,5526,30724,5526,30724,36250,36250,0,0
911,5052,30805,5052,30805,35857,35857,0,0
912,4580,30879,4580,30879,35459,35459,0,0
913,4106,30945,4106,30945,35051,35051,0,0
914,3631,31005,3631,31005,34636,34636,0,0
915,3154,31056,3154,31056,34210,34210,0,0
916,2678,31102,2678,31102,33780,33780,0,0
917,2201,31138,2201,31138,33339,33339,0,0
918,1722,31170,1722,31170,32892,32892,0,0
919,1244,31192,1244,31192,32436,32436,0,0
920,765,31207,765,31207,31972,31972,0,0
921,287,31216,287,31216,31503,31503,0,0
922,-192,31216,-192,31216,31408,31408,0,0
923,-670,31209,-670,31209,31879,31879,0,0
924,-1149,31196,-1149,31196,32345,32345,0,0
925,-1628,31174,-1628,31174,32802,32802,0,0
926,-2106,31145,-2106,31145,33251,33251,0,0
927,-2584,31110,-2584,31110,33694,33694,0,0
928,-3060,31066,-3060,31066,34126,34126,0,0
929,-3536,31016,-3536,31016,34552,34552,0,0
930,-4012,30958,-4012,30958,34970,34970,0,0
931,-4486,30892,-4486,30892,35378,35378,0,0
932,-4960,30820,-4960,30820,35780,35780,0,0
933,-5431,30740,-5431,30740,36171,36171,0,0
934,-5902,30653,-5902,30653,36555,36555,0,0
935,-6372,30559,-6372,30559,36931,36931,0,0
936,-6840,30458,-6840,30458,37298,37298,0,0
937,-7307,30350,-7307,30350,37657,37657,0,0
938,-7772,30234,-7772,30234,38006,38006,0,0
939,-8234,30111,-8234,30111,38345,38345,0,0
940,-8696,29981,-8696,29981,38677,38677,0,0
941,-9154,29844,-9154,29844,38998,38998,0,0
942,-9610,29700,-9610,29700,39310,39310,0,0
943,-10065,29549,-10065,29549,39614,39614,0,0
944,-10516,29392,-10516,29392,39908,39908,0,0
945,-10966,29226,-10966,29226,40192,40192,0,0
946,-11414,29056,-11414,29056,40470,40470,0,0
947,-11858,28877,-11858,28877,40735,40735,0,0
948,-12299,28692,-12299,28692,40991,40991,0,0
949,-12738,28499,-12738,28499,41237,41237,0,0
950,-13174,28300,-13174,28300,41474,41474,0,0
951,-13607,28095,-13607,28095,41702,41702,0,0
952,-14036,27883,-14036,27883,41919,41919,0,0
953,-14462,27664,-14462,27664,42126,42126,0,0
954,-14884,27439,-14884,27439,42323,42323,0,0
955,-15304,27209,-15304,27209,42513,42513,0,0
956,-15720,26970,-15720,26970,42690,42690,0,0
957,-16130,26726,-16130,26726,42856,42856,0,0
958,-16539,26476,-16539,26476,43015,43015,0,0
959,-16944,26218,-16944,26218,43162,43162,0,0
960,-17343,25956,-17343,25956,43299,43299,0,0
961,-17739,25687,-17739,25687,43426,43426,0,0
962,-18131,25411,-18131,25411,43542,43542,0,0
963,-18520,25130,-18520,25130,43650,43650,0,0
964,-18902,24843,-18902,24843,43745,43745,0,0
965,-19282,24550,-19282,24550,43832,43832,0,0
966,-19656,24252,-19656,24252,43908,43908,0,0
967,-20025,23946,-20025,23946,43971,43971,0,0
968,-20390,23638,-20390,23638,44028,44028,0,0
969,-20750,23322,-20750,23322,44072,44072,0,0
970,-21106,23001,-21106,23001,44107,44107,0,0
971,-21456,22675,-21456,22675,44131,44131,0,0
972,-21802,22342,-21802,22342,44144,44144,0,0
973,-22142,22006,-22142,22006,44148,44148,0,0
974,-22476,21664,-22476,21664,44140,44140,0,0
975,-22806,21315,-22806,21315,44121,44121,0,0
976,-23130,20963,-23130,20963,44093,44093,0,0
977,-23450,20606,-23450,20606,44056,44056,0,0
978,-23762,20244,-23762,20244,44006,44006,0,0
979,-24070,19876,-24070,19876,43946,43946,0,0
980,-24372,19506,-24372,19506,43878,43878,0,0
981,-24669,19129,-24669,19129,43798,43798,0,0
982,-24959,18749,-24959,18749,43708,43708,0,0
983,-25244,18364,-25244,18364,43608,43608,0,0
984,-25524,17974,-25524,17974,43498,43498,0,0
985,-25796,17580,-25796,17580,43376,43376,0,0
986,-26062,17182,-26062,17182,43244,43244,0,0
987,-26322,16782,-26322,16782,43104,43104,0,0
988,-26576,16376,-26576,16376,42952,42952,0,0
989,-26825,15966,-26825,15966,42791,42791,0,0
990,-27067,15554,-27067,15554,42621,42621,0,0
991,-27302,15136,-27302,15136,42438,42438,0,0
992,-27532,14715,-27532,14715,42247,42247,0,0
993,-27753,14292,-27753,14292,42045,42045,0,0
994,-27968,13864,-27968,13864,41832,41832,0,0
995,-28179,13433,-28179,13433,41612,41612,0,0
996,-28382,12999,-28382,12999,41381,41381,0,0
997,-28578,12562,-28578,12562,41140,41140,0,0
998,-28767,12122,-28767,12122,40889,40889,0,0
999,-28950,11680,-28950,11680,40630,40630,0,0
1000,-29125,11234,-29125,11234,40359,40359,0,0
1001,-29294,10786,-29294,10786,40080,40080,0,0
1002,-29456,10336,-29456,10336,39792,39792,0,0
1003,-29612,9883,-29612,9883,39495,39495,0,0
1004,-29759,9427,-29759,9427,39186,39186,0,0
1005,-29900,8970,-29900,8970,38870,38870,0,0
1006,-30035,8510,-30035,8510,38545,38545,0,0
1007,-30162,8048,-30162,8048,38210,38210,0,0
1008,-30282,7586,-30282,7586,37868,37868,0,0
1009,-30394,7120,-30394,7120,37514,37514,0,0
1010,-30500,6652,-30500,6652,37152,37152,0,0
