bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
1584,-1,1,-1,1,2,2,0,0
1585,0,1,0,1,1,1,0,0
1586,-1,0,-1,0,1,1,0,0
1587,-1,0,-1,0,1,1,0,0
1588,-1,0,-1,0,1,1,0,0
1589,-1,0,-1,0,1,1,0,0
1590,-1,0,-1,0,1,1,0,0
1591,-1,0,-1,0,1,1,0,0
1592,-1,1,-1,1,2,2,0,0
1593,-1,1,-1,1,2,2,0,0
1594,-1,0,-1,0,1,1,0,0
1595,-1,0,-1,0,1,1,0,0
1596,-1,0,-1,0,1,1,0,0
1597,-1,0,-1,0,1,1,0,0
1598,-2,0,-2,0,2,2,0,0
1599,-2,0,-2,0,2,2,0,0
1600,-2,-1,-2,-1,3,3,0,0
1601,-1,0,-1,0,1,1,0,0
1602,-1,0,-1,0,1,1,0,0
1603,-1,0,-1,0,1,1,0,0
1604,-2,1,-2,1,3,3,0,0
1605,-2,1,-2,1,3,3,0,0
1606,-2,0,-2,0,2,2,0,0
1607,-1,1,-1,1,2,2,0,0
1608,-1,0,-1,0,1,1,0,0
1609,0,2,0,2,2,2,0,0
1610,-1,1,-1,1,2,2,0,0
1611,-2,0,-2,0,2,2,0,0
1612,-2,-1,-2,-1,3,3,0,0
1613,-1,0,-1,0,1,1,0,0
1614,-2,-1,-2,-1,3,3,0,0
1615,-2,-2,-2,-2,4,4,0,0
1616,-1,-1,-1,-1,2,2,0,0
1617,-1,-1,-1,-1,2,2,0,0
1618,-1,-1,-1,-1,2,2,0,0
1619,-1,-2,-1,-2,3,3,0,0
1620,0,-1,0,-1,1,1,0,0
1621,-1,-1,-1,-1,2,2,0,0
1622,0,-2,0,-2,2,2,0,0
1623,0,-1,0,-1,1,1,0,0
1624,0,-1,0,-1,1,1,0,0
1625,1,0,1,0,1,1,0,0
1626,1,-1,1,-1,2,2,0,0
1627,2,0,2,0,2,2,0,0
1628,1,0,1,0,1,1,0,0
1629,-1,0,-1,0,1,1,0,0
1630,0,1,0,1,1,1,0,0
1631,0,1,0,1,1,1,0,0
1632,1,1,1,1,2,2,0,0
1633,-1,1,-1,1,2,2,0,0
1634,0,1,0,1,1,1,0,0
1635,0,1,0,1,1,1,0,0
1636,0,1,0,1,1,1,0,0
1637,-1,2,-1,2,3,3,0,0
1638,-1,2,-1,2,3,3,0,0
1639,-1,2,-1,2,3,3,0,0
1640,-1,2,-1,2,3,3,0,0
1641,-2,2,-2,2,4,4,0,0
1642,-2,2,-2,2,4,4,0,0
1643,-2,2,-2,2,4,4,0,0
1644,-2,2,-2,2,4,4,0,0
1645,-3,1,-3,1,4,4,0,0
1646,-2,1,-2,1,3,3,0,0
1647,-3,1,-3,1,4,4,0,0
1648,-3,1,-3,1,4,4,0,0
1649,-3,0,-3,0,3,3,0,0
1650,-3,-1,-3,-1,4,4,0,0
1651,-3,0,-3,0,3,3,0,0
1652,-3,-1,-3,-1,4,4,0,0
1653,-3,-2,-3,-2,5,5,0,0
1654,-1,-2,-1,-2,3,3,0,0
1655,-1,-1,-1,-1,2,2,0,0
1656,0,-2,0,-2,2,2,0,0
1657,0,-1,0,-1,1,1,0,0
1658,-1,-2,-1,-2,3,3,0,0
1659,-1,-2,-1,-2,3,3,0,0
1660,-1,-1,-1,-1,2,2,0,0
1661,0,-1,0,-1,1,1,0,0
1662,-1,-1,-1,-1,2,2,0,0
1663,0,-1,0,-1,1,1,0,0
1664,0,-1,0,-1,1,1,0,0
1665,0,-2,0,-2,2,2,0,0
1666,1,-1,1,-1,2,2,0,0
1667,1,-1,1,-1,2,2,0,0
1668,1,-1,1,-1,2,2,0,0
